Electrode,x,y,z
Fp1,-27,83,-3
Af7,-51,70,-3
Af3,-35,76,24
F1,-25,62,56
F3,-47,58,43
F5,-63,55,22
F7,-70,51,-3
Ft7,-83,27,-3
Fc5,-77,29,27
Fc3,-59,31,56
Fc1,-32,32,74
C1,-34,0,80
C3,-62,0,60
C5,-81,0,31
T7 (T3),-87,0,-3
T9,-79,0,-37
T10,79,-20.0093,-37
Nz,0,79,-37
Tp7,-83,-27,-3
Cp5,-77,-29,27
Cp3,-59,-31,56
Cp1,-32,-32,74
P1,-25,-62,56
P3,-47,-58,43
P5,-63,-55,22
P7,-70,-51,-3
P9,-64,-46,-36
Po7,-51,-70,-3
Po3,-35,-76,24
O1,-27,-83,-3
Iz (inion),0,-79,-36
Oz,0,-87,-3
Poz,0,-81,31
Pz,0,-62,60
Cpz,0,-34,80
Fpz,0,87,-3
Fp2,27,83,-3
Af8,51,70,-3
Af4,35,76,24
Afz,0,81,31
Fz,0,62,60
F2,25,62,56
F4,47,58,43
F6,63,55,22
F8,70,51,-3
Ft8,83,27,-3
Fc6,77,29,27
Fc4,59,31,56
Fc2,32,32,74
Fcz,0,34,80
Cz,0,0,87
C2,34,0,80
C4,62,0,60
C6,81,0,31
T8 (T4),87,0,-3
Tp8,83,-27,-3
Cp6,77,-29,27
Cp4,59,-31,56
Cp2,32,-32,74
P2,25,-62,56
P4,47,-58,43
P6,63,-55,22
P8,70,-51,-3
P10,64,-46,-36
Po8,51,-70,-3
Po4,35,-76,24
O2,27,-83,-3
